freq,hash,group_concat(docid)
12,0xD1801A9A6656F3EE69E7EDD4C91496394AAE126E,"49023,49112,49130,49243,49244,49284,49363,49399,49429,49829,49877,49898"
12,0xD7C335156B938AEDD0DB2F20952AD78F8523CE34,"49088,49095,49282,49286,49372,49421,49615,49660,49818,49857,49886,50038"
12,0xF87C252A3875D05F6DAB855715D87092175B8FAA,"49033,49060,49088,49099,49124,49222,49351,49494,49514,49643,49803,50023"
11,0x02E8EB663DF1AC8B5C94E0368C8E51E0D0BD9C54,"49204,49218,49293,49338,49421,49456,49596,49686,49746,49905,49906"
11,0x0889B46C4D69F5B722AEA7CFB8BB94DBF9DBBFD3,"49038,49446,49451,49478,49505,49719,49722,49815,49865,49959,50001"
11,0x482E64F14BBF8A326FB191E662825FDC99372BA1,"49046,49053,49293,49326,49379,49397,49487,49597,49628,49751,49800"
11,0x58CB295DB622BB91C1BDEE821A341E32EBF893BC,"49226,49299,49417,49470,49472,49597,49642,49800,49829,50009,50045"
11,0x5BAA51EACBA385283941D7D1B7AEDB33B7B0B930,"49139,49172,49256,49427,49657,49673,49809,49812,49816,49825,49843"
10,0x2DF4676F32A4637B0490610BB55934FEB2D0CCB7,"49067,49116,49312,49523,49597,49627,49821,49937,50023,50091"
10,0x57A11B410587DD3B80CFAED12A10E01B3DBD0AA6,"49204,49304,49398,49414,49494,49543,49784,49897,49899,50015"
10,0x5C2DD944DDE9E08881BEF0894FE7B22A5C9C4B06,"49058,49159,49282,49530,49544,49578,49597,49628,49856,50046"
10,0x6CCEF34F74E3920097A266E81FEC087B63BA0AFC,"49027,49157,49191,49195,49439,49501,49533,49723,49786,49802"
10,0x8132293E07AFF8855B2D83719569141149DD83CF,"49016,49194,49259,49284,49299,49455,49828,49879,49881,49972"
10,0x9DBCCEF4FDEC8B5A4474E0CEF93BA195C4C4142D,"49019,49207,49338,49363,49521,49543,49580,49618,49919,50069"
10,0xA4B9995601FB1374EB86A6A2340DB0DA369F46E0,"49049,49123,49143,49380,49770,49784,49838,49846,49866,50038"
10,0xCE88AC8D3D5FF616F1E72BD1E07D25362DC36A05,"49003,49057,49223,49296,49309,49381,49508,49974,50025,50067"
10,0xE17A235EA82A79EC56585734E7BCE9BF9B13D675,"49347,49360,49413,49467,49470,49597,49627,49673,49761,49763"
9,0x0DAE34AEAB2D736E5E4ADC2D7173E940D4610EB3,"49277,49470,49722,49877,49940,50025,50059,50063,50077"
9,0x297230FD8A89342389DCE7AB73C3C9453A402B7A,"49034,49131,49255,49338,49507,49513,49665,49714,49919"
9,0x71147A65A111C1923E332208D78420EC5DBDE22C,"49095,49123,49180,49189,49507,49656,49875,50009,50015"
9,0xB788797B57DB7D6E504C9970B323CC5573A89C41,"49191,49353,49462,49501,49543,49580,49723,49784,49936"
8,0x1365EE2404236781EC034AB6ED7634A89ABB58B0,"49108,49135,49228,49632,49636,49665,49831,49894"
8,0x14702EC426BE20F40C002C7FB16A7446409D04A9,"49185,49259,49284,49455,49576,49700,49718,50043"
8,0x2B51C0920EE38ABB3E3799C52501C39331F7AC74,"49056,49217,49254,49267,49409,49580,49649,49930"
8,0x6AC5CE27A003B78B470B0B4512A481D41D93C416,"49051,49095,49099,49217,49643,49748,49751,49838"
8,0x8770DBBE36B56D84566A791F39087EE6C5A31500,"49243,49284,49363,49471,49722,49887,49940,50041"
8,0x886A13842303CB0F7C305E912CBAFF4AE39B91F7,"49097,49185,49269,49417,49472,49505,49775,50077"
8,0x88873DCF9D69050B01804A1C01F7B62CEC81E3EE,"49023,49053,49224,49254,49316,49612,50075,50091"
8,0x93F0781F84CC98C84F6292F23427D64E7A4240E8,"49137,49257,49521,49548,49567,49626,49748,49816"
8,0xABAA2FD70F6F352202644AE14347424BAC5570C2,"49157,49191,49195,49353,49439,49462,49723,49786"
8,0xC1262F7C9B7E7B342A158B10F85BC1683F71A479,"49016,49223,49595,49662,49834,49952,50041,50085"
8,0xF961925EDFFB058D874681028FCF02E9BC561E2C,"49084,49296,49299,49429,49441,49649,49775,49831"
7,0x02C4CF98B266845FDA6DFF6B57CE93DB5B6FBEA4,"49003,49123,49286,49349,49831,49948,50070"
7,0x090ED76421CE5EC23A11ADB2E908AE36B4675866,"49179,49449,49680,49736,49788,49977,50049"
7,0x2074BDBA9E127F0ED8199335064790E8446400CA,"49275,49439,49491,49501,49543,49872,49970"
7,0x2EC0F50CB2620C85F64D972986691E639D94BBD1,"49128,49283,49363,49500,49576,49748,49778"
7,0x46ED0D6EDA6B2F4FEF8582A14C62823C1F912941,"49122,49252,49374,49431,49484,49853,49899"
7,0x5A1EE0A9EEC42A584AAE283ADFA34AAB97531388,"49299,49398,49414,49481,49597,49766,50016"
7,0x6A6C200F32019F3CD4B2C82A9DDDFC5BBECA77E5,"49046,49325,49360,49459,49478,49597,49761"
7,0x7A488390A939C4795CC1A801E51751D5F25D800D,"49079,49362,49463,49557,49801,49803,49817"
7,0x810159E474AF579D0F5753FBB34318177FF6C957,"49204,49279,49309,49471,49505,50040,50059"
7,0xA331027353542444ECD9BCE355C8E60449F0B0F5,"49122,49252,49322,49374,49431,49686,49853"
7,0xA6F5C00934D3F8BB44C7F11E63DD6412273EFC3E,"49427,49455,49471,49714,49828,49881,49972"
7,0xA8FF11C37029C4820AE4B6707FDED7C5716FD106,"49157,49191,49195,49439,49567,49723,49786"
7,0xBBDB9599BF79C0A3CACA28344DCD5FA08D64C30D,"49023,49191,49533,49635,49723,49797,49971"
7,0xDB9DF24FAF712B0FF2F80DD5A7146B847BBC1D96,"49107,49156,49204,49470,49645,49847,50059"
7,0xFD289096858336732E39DF094E8DB470E8B80A5A,"49098,49208,49220,49246,49312,49396,49570"
6,0x04D0B404E69A0361FBED3D2E95AC60BFF69F1315,"49191,49195,49353,49439,49462,49723"
6,0x1002BED0A763D914922CD558A56CEB7305A803AD,"49254,49268,49496,49503,49719,49784"
6,0x1F6EA96CB5A3E94B2254781DCFAF613FF1FD17D6,"49128,49177,49283,49363,49434,49517"
6,0x23B0A5F555E279487665EDD509F25D728E896129,"49051,49283,49661,49875,50051,50063"
6,0x28F760695B7811EB817EC6F01EE9FED1DC35556C,"49173,49367,49372,49568,49643,50051"
